transaction_hash,sender_address,receiver_address,amount_eth,timestamp,gas_used,gas_price,block_number,gas_cost_eth,date,hour,day_of_week,month,is_standard_stake
0x73badb0ccc719420aa82252861995660b9a5e8acfafd03f896033c391e35a9c5,0xa40dfee99e1c85dc97fdc594b16a460717838703,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-09 02:05:59,50502,2604264645,22006218,0.00013152057310179,2025-03-09,2,Sunday,March,True
0xe30fa21d72940f9635885b4e75b56ea3dbbc0d9eaab9ce201ef71ae375b3a93a,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-09 01:55:11,50526,1616685571,22006165,8.1684655160346e-05,2025-03-09,1,Sunday,March,True
0xc0568a2d7cda1ee8b291fb3dc951555988f242fb8313f08704120f96780e2108,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-09 01:16:35,53490,1512742311,22005972,8.091658621539e-05,2025-03-09,1,Sunday,March,True
0xd3a9f04383f4249b753269a2cdbd315dd5d4834dd67061c7b85a5027d9c8565b,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-09 01:16:11,50526,1482592723,22005970,7.4909479922298e-05,2025-03-09,1,Sunday,March,True
0xc7929a893d70d0c21d98d011f0f33fff39932bfb27c856b9e57d3d0931c79f5e,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-09 01:15:59,56466,1527756149,22005969,8.6266278709434e-05,2025-03-09,1,Sunday,March,True
0x46332ad5aae7198d08edcc94ac64ab54d1c78461299926caf55ecee608b649bc,0xa40dfee99e1c85dc97fdc594b16a460717838703,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-09 00:35:59,50502,2532551593,22005769,0.000127898920549686,2025-03-09,0,Sunday,March,True
0xf4f3bb3bd53fb7ab54ba10343d25e01eeabc3bdf0b8ab4806e54b2ed21e4d84c,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 23:16:35,50514,1559736763,22005374,7.8788542846182e-05,2025-03-08,23,Saturday,March,True
0x756ae7689a138734152942be261c1814697cdd3a607c47e5020d6d96990ef583,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 23:16:23,53478,1497567180,22005373,8.008689765204e-05,2025-03-08,23,Saturday,March,True
0xc176d59d00c5ce53121800cda26515d6fe1b6ffed165822d1b84f2da6e33270b,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 23:15:47,50526,1505708851,22005370,7.6077445405626e-05,2025-03-08,23,Saturday,March,True
0x70009854a195c7e6116448cdeb357c49d8a0fc2cb35e1808a2447e63ea08840f,0xa40dfee99e1c85dc97fdc594b16a460717838703,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 23:05:59,50502,2562212020,22005322,0.00012939683143404,2025-03-08,23,Saturday,March,True
