transaction_hash,sender_address,receiver_address,amount_eth,timestamp,gas_used,gas_price,block_number,gas_cost_eth,date,hour,day_of_week,month,is_standard_stake
0xb4cb16067669f5fdf08c5deec8eb641a8e0bdbbca374ea01924f012bb68e486b,0x0cec9cc29f074db90eeec52bada7d39f37a1240c,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 03:34:11,50514,6500000000,21999500,0.000328341,2025-03-08,3,Saturday,March,True
0x959b7ec80715935ade23136ae39f978eaa071acf1254a2d75dad4601b5bba094,0x0cec9cc29f074db90eeec52bada7d39f37a1240c,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 03:33:11,50526,6500000000,21999495,0.000328419,2025-03-08,3,Saturday,March,True
0x78b073e756dc010ce33aba037cdcbec910c2bcbca544de582a63b7e803599550,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 03:18:11,53490,1605375234,21999420,8.587152126666e-05,2025-03-08,3,Saturday,March,True
0x8e3f74191fb34bf988fa6f7e3f5e541d5c1fef9bf3a6eb5378f1eacb6273dca3,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 03:17:59,50526,1567544330,21999419,7.920174481758e-05,2025-03-08,3,Saturday,March,True
0x3bdf2ee52e705e4d8e80146d1b13704201e3f90d891615cf880231fe67f10a8c,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 03:17:35,62419,1591250943,21999417,9.9324292611117e-05,2025-03-08,3,Saturday,March,True
0x8971cecb71d03d35f2760fb268c7558d9790c232e9e90445ea71a9dfa1516608,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 03:17:11,50514,1532195264,21999415,7.7397311565696e-05,2025-03-08,3,Saturday,March,True
0x0400a69b2899112176b34a55a29a287aa2717e1f62d034e7df5dbb9fab819c7b,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 03:16:59,53466,1566491787,21999414,8.3754049883742e-05,2025-03-08,3,Saturday,March,True
0xc34a2c9340124153efe2abb814e1245460b3b0ac3f57d0938f5c376c95202063,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 03:16:35,50526,1601332984,21999412,8.0908950349584e-05,2025-03-08,3,Saturday,March,True
0x1efc49a72a401a7efcc18d9664a8b1fe6d855e808e5a234f3ae3d9de3bd07cbc,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 03:16:23,56466,1593964349,21999411,9.0004790930634e-05,2025-03-08,3,Saturday,March,True
0x1072189e0797b86d41b64b8f0c71e27b303c1e352978ce343954ee638f43620a,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 03:15:47,50526,1560482742,21999408,7.8844951022292e-05,2025-03-08,3,Saturday,March,True
0x8c7dde00bdd01bd9ee147bd8c43a6a0dd8de31f99e193baa14f1e0026d83828e,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 01:17:47,65408,1578583437,21998825,0.000103251985447296,2025-03-08,1,Saturday,March,True
0x1fb7d71519450189eb0c52a1ef564441c7900e21ccb3014414a18e8ff982ca16,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 01:17:35,50526,1595562029,21998824,8.0617367077254e-05,2025-03-08,1,Saturday,March,True
0x25a971fc8149d44818878adcee938747287d133219b4259b72c81319c582a9bf,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 01:17:11,53502,1531585007,21998822,8.1942861044514e-05,2025-03-08,1,Saturday,March,True
0x5daa3aa81c69866a351f5974d23bf427f5f7dab01168b1760d7c0fba7d764cfb,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 01:16:47,50514,1578538342,21998820,7.9738285807788e-05,2025-03-08,1,Saturday,March,True
0xf71423fb2f01ad0c58b50adf22c13bc6a98ea3592d8186dab7caba548c39d476,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 01:16:35,56454,1596581493,21998819,9.0133411605822e-05,2025-03-08,1,Saturday,March,True
0x5bba5e1a305c5e6051440e783b2d1adb84f49537907db6d4073a4fc5a3c7903a,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 01:16:11,50526,1580047033,21998817,7.9833456389358e-05,2025-03-08,1,Saturday,March,True
0xe87acd7408d763efa387ba366d8f442804c5cfb35f1d23e0386b472c60145e38,0x44894aeee56c2dd589c1d5c8cb04b87576967f97,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 01:15:59,53490,1517124985,21998816,8.115101544765e-05,2025-03-08,1,Saturday,March,True
0x89ef3bcdf16ce62312ef214e91ac321ac8e437d41f995ede53d1ad3b90853736,0xc44b7316936e2f004e688fd53a95e060df1811c3,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 01:05:35,50526,621357939,21998764,3.1394731225914e-05,2025-03-08,1,Saturday,March,True
0x7008e632e3f59e08ce87938c737e34458218c1045f2866bbe7e840322a39b2a9,0x6a8a101d017add89d3bc01bb88b849bbeb3c8b0b,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 00:49:47,50526,633451970,21998685,3.200579423622e-05,2025-03-08,0,Saturday,March,True
0xa797aa043cc570177b4e7988932e3a5326abd953be14240388cea23f4c08a76c,0x6a8a101d017add89d3bc01bb88b849bbeb3c8b0b,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 00:48:11,53490,544839262,21998677,2.914345212438e-05,2025-03-08,0,Saturday,March,True
0xa758d583d4ed94df1abe7c356013eebc20312cb867970eae574c99c425b9f5ff,0x6a8a101d017add89d3bc01bb88b849bbeb3c8b0b,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 00:46:11,50502,580320021,21998668,2.9307321700542e-05,2025-03-08,0,Saturday,March,True
0x8f3d0f380fcadf9eb0e62e8f305bf4d23d3ef335db0ef672f2b0814a9386834a,0x6a8a101d017add89d3bc01bb88b849bbeb3c8b0b,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 00:44:23,56454,560539230,21998659,3.164468169042e-05,2025-03-08,0,Saturday,March,True
0xf08e8fefbd5c5323e96753dc0f624550212921472d25ffb4bd4bbda67222830b,0x6a8a101d017add89d3bc01bb88b849bbeb3c8b0b,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 00:41:35,50526,601604030,21998645,3.039664521978e-05,2025-03-08,0,Saturday,March,True
0x99673f8ebadf8348a6e0efae4076de713b2af7fc7b38aebfb2ac59e61ed5e813,0x6a8a101d017add89d3bc01bb88b849bbeb3c8b0b,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-08 00:39:47,53454,546256268,21998636,2.9199582549672e-05,2025-03-08,0,Saturday,March,True
